period_cat,V1,V2,V3,V4,V5
2,MIT_CovidAnalytics-DELPHI,UNIPV-BayesINGARCHX,epiforecasts-EpiExpert,epiforecasts-EpiExpert_Rt,CovidMetrics-epiBATS
2,MIT_CovidAnalytics-DELPHI,RobertWalraven-ESG,UNIPV-BayesINGARCHX,epiforecasts-EpiExpert_direct,CovidMetrics-epiBATS
2,EuroCOVIDhub-baseline,HZI-AgeExtendedSEIR,ITWW-county_repro,Karlen-pypm,MUNI-ARIMA
2,ILM-EKF,Karlen-pypm,RobertWalraven-ESG,UNIPV-BayesINGARCHX,epiforecasts-EpiNow2
2,EuroCOVIDhub-baseline,IEM_Health-CovidProject,MIT_CovidAnalytics-DELPHI,MUNI-ARIMA,epiforecasts-EpiExpert_direct
2,EuroCOVIDhub-baseline,ILM-EKF,MUNI-ARIMA,epiforecasts-EpiExpert_Rt,itwm-dSEIR
2,EuroCOVIDhub-baseline,HZI-AgeExtendedSEIR,MIT_CovidAnalytics-DELPHI,UNIPV-BayesINGARCHX,epiforecasts-EpiNow2
2,HZI-AgeExtendedSEIR,MIT_CovidAnalytics-DELPHI,MUNI-ARIMA,epiforecasts-EpiExpert_direct,itwm-dSEIR
2,RobertWalraven-ESG,UNIPV-BayesINGARCHX,epiforecasts-EpiExpert_Rt,epiforecasts-EpiNow2,itwm-dSEIR
2,IEM_Health-CovidProject,Karlen-pypm,MIT_CovidAnalytics-DELPHI,epiforecasts-EpiExpert_Rt,epiforecasts-EpiExpert_direct
2,EuroCOVIDhub-baseline,ITWW-county_repro,Karlen-pypm,UNIPV-BayesINGARCHX,epiforecasts-EpiNow2
2,ILM-EKF,MIT_CovidAnalytics-DELPHI,epiforecasts-EpiExpert,epiforecasts-EpiExpert_direct,CovidMetrics-epiBATS
2,EuroCOVIDhub-baseline,FIAS_FZJ-Epi1Ger,Karlen-pypm,RobertWalraven-ESG,epiforecasts-EpiExpert_direct
2,FIAS_FZJ-Epi1Ger,ITWW-county_repro,MIT_CovidAnalytics-DELPHI,epiforecasts-EpiExpert,epiforecasts-EpiExpert_direct
2,EuroCOVIDhub-baseline,FIAS_FZJ-Epi1Ger,IEM_Health-CovidProject,MIT_CovidAnalytics-DELPHI,CovidMetrics-epiBATS
2,EuroCOVIDhub-baseline,ITWW-county_repro,MUNI-ARIMA,RobertWalraven-ESG,CovidMetrics-epiBATS
2,Karlen-pypm,MIT_CovidAnalytics-DELPHI,UNIPV-BayesINGARCHX,epiforecasts-EpiNow2,CovidMetrics-epiBATS
2,EuroCOVIDhub-baseline,ILM-EKF,MIT_CovidAnalytics-DELPHI,RobertWalraven-ESG,epiforecasts-EpiExpert_Rt
2,HZI-AgeExtendedSEIR,IEM_Health-CovidProject,MIT_CovidAnalytics-DELPHI,epiforecasts-EpiExpert_direct,CovidMetrics-epiBATS
2,ITWW-county_repro,MIT_CovidAnalytics-DELPHI,UNIPV-BayesINGARCHX,itwm-dSEIR,CovidMetrics-epiBATS
2,Karlen-pypm,MIT_CovidAnalytics-DELPHI,UNIPV-BayesINGARCHX,epiforecasts-EpiExpert,epiforecasts-EpiExpert_direct
